CEO's Circular No: 90/2024

CEO's Office, Sri Lanka Telecom PLC, Colombo 01.

28 October 2024

To All Staff

Holidays for SLT Employees 2025

Following holidays will apply to all SLT employees for the year 2025.

| January    | 13    | Monday    | Duruthu Full Moon Poya Day    |
|---|---|---|---|
| January    | 14    | Tuesday    | Tamil Thai Pongal Day    |
| February    | 04    | Tuesday    | Independence Day    |
| February    | 12    | Wednesday    | Navam Full Moon Poya Day    |
| February    | 26    | Wednesday    | Maha Sivarathri Day    |
| March    | 13    | Thursday    | Madin Full Moon Poya Day    |
| March    | 31    | Monday    | Id-Ul-Fitr (Ramazan Festival Day)    |
| April    | 12    | Saturday    | Bak Full Moon Poya Day    |
| April    | 13    | Sunday    | Day Prior to Sinhala and Tamil New Year Day |
| April    | 14    | Monday    | Sinhala and Tamil New Year Day    |
| April    | 18    | Friday    | Good Friday    |
| May    | 01    | Thursday    | May Day(International Worker's Day)    |
| May    | 12    | Monday    | Vesak Full Moon Poya day    |
| May    | 13    | Tuesday    | Day Following Vesak Full Moon Poya day |
| June    | 07    | Saturday    | Id-Ul-Allah (Hajji Festival Day)    |
| June    | 10    | Tuesday    | Poson Full Moon Poya Day    |
| July    | 10    | Thursday    | Esala Full Moon Poya Day    |
| August    | 08    | Friday    | Nikini Full Moon Poya Day    |
| September    | 05    | Friday    | Milad-Un-Nabi (Holy Prophet's Birth day)    |
| September    | 07    | Sunday    | Binara Full Moon Poya Day    |
| October    | 06    | Monday    | Vap Full Moon Poya Day    |
| October    | 20    | Monday    | Deepavali Festival Day    |
| November    | 05    | Wednesday    | Ill Full Moon Poya Day    |
| December    | 04    | Thursday    | Unduvap Full Moon Poya Day    |
| December    | 25    | Thursday    | Christmas Day    |

Janaka R Abeysinghe
Chief Executive Officer
