CEO's Circular No: 71 /2022

CEO's Office, Sri Lanka Telecom PLC, Colombo 01.

To All Staff

Holidays for SLT Employees 2023

Following holidays will apply to all SLT employees for the year 2023.

| January    | 06    | Friday    | Duruthu Full Moon Poya Day    |
|---|---|---|---|
| January    | 15    | Sunday    | Tamil Thai Pongal Day    |
| February    | 04    | Saturday    | Independence Day    |
| February    | 05    | Sunday    | Navam Full Moon Poya Day    |
| February    | 18    | Saturday    | Maha Sivarathri Day    |
| March    | 06    | Monday    | Madin Full Moon Poya Day    |
| April    | 05    | Wednesday    | Bak Full Moon Poya Day    |
| April    | 07    | Friday    | Good Friday    |
| April    | 13    | Thursday    | Day Prior to Sinhala and Tamil New Year Day |
| April    | 14    | Friday    | Sinhala and Tamil New Year Day    |
| April    | 22    | Saturday    | Id-Ul-Fitr (Ramazan Festival Day)    |
| May    | 01    | Monday    | May Day    |
| May    | 05    | Friday    | Vesak Full Moon Poya day    |
| May    | 06    | Saturday    | Day Following Vesak Full Moon Poya day |
| June    | 03    | Saturday    | Ppson full moon poya day    |
| June    | 29    | Thursday    | Id-Ul-Alha (Haiji Festival Day)    |
| July    | 03    | Monday    | Adi Esala Full Moon Poya Day    |
| August    | 01    | Tuesday    | Esala Full Moon Poya Day    |
| August    | 30    | Wednesday    | Nikini Full Moon Poya Day    |
| September    | 28    | Thursday    | Milad-Un-Nabi (Holy Prophet's Birth day)    |
| September    | 29    | Friday    | Binara Full Moon Poya Day    |
| October    | 28    | Saturday    | Vap Full Moon Poya Day    |
| November    | 12    | Sunday    | Deepavali Festival Day    |
| November    | 26    | Sunday    | Ill Full Moon Poya Day    |
| December    | 25    | Monday    | Christmas Day    |
| December    | 26    | Tuesday    | Unduvap Full Moon Poya Day    |

Janaka R Abeysinghe
Chief Executive Officer
